PIH,NASDAQ,"1347 PROPERTY INSURANCE HOLDINGS, INC.",FINANCE,PROPERTY-CASUALTY INSURERS
PIHPP,NASDAQ,"1347 PROPERTY INSURANCE HOLDINGS, INC.",FINANCE,PROPERTY-CASUALTY INSURERS
TURN,NASDAQ,180 DEGREE CAPITAL CORP.,FINANCE,FINANCE/INVESTORS SERVICES
FLWS,NASDAQ,"1-800 FLOWERS.COM, INC.",CONSUMER SERVICES,OTHER SPECIALTY STORES
FCCY,NASDAQ,1ST CONSTITUTION BANCORP (NJ),FINANCE,SAVINGS INSTITUTIONS
SRCE,NASDAQ,1ST SOURCE CORPORATION,FINANCE,MAJOR BANKS
VNET,NASDAQ,"21VIANET GROUP, INC.",TECHNOLOGY,"COMPUTER SOFTWARE: PROGRAMMING, DATA PROCESSING"
TWOU,NASDAQ,"2U, INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
JOBS,NASDAQ,"51JOB, INC.",TECHNOLOGY,DIVERSIFIED COMMERCIAL SERVICES
CAFD,NASDAQ,8POINT3 ENERGY PARTNERS LP,PUBLIC UTILITIES,ELECTRIC UTILITIES: CENTRAL
AVHI,NASDAQ,"A V HOMES, INC.",CAPITAL GOODS,HOMEBUILDING
SHLM,NASDAQ,"A. SCHULMAN, INC.",BASIC INDUSTRIES,MAJOR CHEMICALS
AAON,NASDAQ,"AAON, INC.",CAPITAL GOODS,INDUSTRIAL MACHINERY/COMPONENTS
ABAX,NASDAQ,"ABAXIS, INC.",CAPITAL GOODS,INDUSTRIAL MACHINERY/COMPONENTS
ABEO,NASDAQ,ABEONA THERAPEUTICS INC.,HEALTH CARE,MAJOR PHARMACEUTICALS
ABEOW,NASDAQ,ABEONA THERAPEUTICS INC.,HEALTH CARE,MAJOR PHARMACEUTICALS
ABIL,NASDAQ,ABILITY INC.,CONSUMER DURABLES,TELECOMMUNICATIONS EQUIPMENT
ABMD,NASDAQ,"ABIOMED, INC.",HEALTH CARE,MEDICAL/DENTAL INSTRUMENTS
ABLX,NASDAQ,ABLYNX NV,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
ABP,NASDAQ,ABPRO CORPORATION,N/A,N/A
AXAS,NASDAQ,ABRAXAS PETROLEUM CORPORATION,ENERGY,OIL & GAS PRODUCTION
ACIU,NASDAQ,AC IMMUNE SA,HEALTH CARE,MAJOR PHARMACEUTICALS
ACIA,NASDAQ,"ACACIA COMMUNICATIONS, INC.",TECHNOLOGY,SEMICONDUCTORS
ACTG,NASDAQ,ACACIA RESEARCH CORPORATION,MISCELLANEOUS,MULTI-SECTOR COMPANIES
ACHC,NASDAQ,"ACADIA HEALTHCARE COMPANY, INC.",HEALTH CARE,MEDICAL SPECIALITIES
ACAD,NASDAQ,ACADIA PHARMACEUTICALS INC.,HEALTH CARE,MAJOR PHARMACEUTICALS
ACST,NASDAQ,"ACASTI PHARMA, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
AXDX,NASDAQ,"ACCELERATE DIAGNOSTICS, INC.",CAPITAL GOODS,BIOTECHNOLOGY: LABORATORY ANALYTICAL INSTRUMENTS
XLRN,NASDAQ,ACCELERON PHARMA INC.,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)
ANCX,NASDAQ,ACCESS NATIONAL CORPORATION,FINANCE,SAVINGS INSTITUTIONS
ARAY,NASDAQ,ACCURAY INCORPORATED,HEALTH CARE,MEDICAL/DENTAL INSTRUMENTS
ACRX,NASDAQ,"ACELRX PHARMACEUTICALS, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
ACER,NASDAQ,ACER THERAPEUTICS INC.,HEALTH CARE,MAJOR PHARMACEUTICALS
ACET,NASDAQ,ACETO CORPORATION,HEALTH CARE,OTHER PHARMACEUTICALS
AKAO,NASDAQ,"ACHAOGEN, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
ACHV,NASDAQ,"ACHIEVE LIFE SCIENCES, INC.",HEALTH CARE,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
ACHN,NASDAQ,"ACHILLION PHARMACEUTICALS, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
ACIW,NASDAQ,"ACI WORLDWIDE, INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
ACRS,NASDAQ,"ACLARIS THERAPEUTICS, INC.",HEALTH CARE,MAJOR PHARMACEUTICALS
